word,query,dmetaphone_sim,dmetaphone_ed,metaphone_sim,metaphone_ed,nysiis_sim,nysiis_ed,soundex_sim,soundex_ed,og_sim,og_ed,label
abacavir,abacavir,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abacavir,ab0acavir,1.0,0,1.0,0,1.0,0,1.0,0,0.9704,1,1
abacavir,abacair,0.9533,1,0.9533,1,0.9583,2,0.8833,1,0.9792,1,1
abacavir,abacvir,1.0,0,1.0,0,0.9464,1,1.0,0,0.975,1,1
abacavir,abcavir,0.8933,1,0.8933,1,0.9238,1,0.8667,1,0.8476,2,0
abacavir,abcavir,1.0,0,1.0,0,0.8905,1,1.0,0,0.9286,1,1
abacavir,aabcavir,1.0,0,1.0,0,0.8905,1,1.0,0,0.9625,2,1
abametapir,abametapir,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abametapir,abaametapir,1.0,0,1.0,0,1.0,0,1.0,0,0.9321,1,1
abametapir,abamettapir,1.0,0,1.0,0,1.0,0,1.0,0,0.9879,1,1
abametapir,abmetapir,1.0,0,1.0,0,0.8844,1,1.0,0,0.9141,1,1
abametapir,bametapir,0.9444,1,0.9444,1,0.8185,1,0.6667,3,0.8556,1,1
abarelix,abarelix,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abarelix,abaraelix,1.0,0,1.0,0,1.0,0,1.0,0,0.9778,1,1
abarelix,abareliqx,0.9762,1,0.9762,1,0.9653,2,1.0,0,0.9889,1,1
abarelix,abrelix,0.8222,2,0.8222,2,0.6655,3,0.8333,1,0.8095,2,0
abarelix,abrelix,0.8889,2,0.8889,2,0.7714,2,0.5,4,0.9048,2,0
abarelix,abrelix,1.0,0,1.0,0,0.8905,1,1.0,0,0.9667,1,1
abarelix,albarelix,0.8821,1,0.8821,1,0.8729,1,0.8875,2,0.8729,1,1
abarelix,abarelxi,1.0,0,1.0,0,0.9476,2,1.0,0,0.9833,2,1
abatacept,abatacept,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abatacept,aatacept,0.86,1,0.86,1,0.8476,2,0.8875,2,0.9667,1,1
abatacept,abaatacept,1.0,0,1.0,0,1.0,0,1.0,0,0.9507,1,1
abatacept,abatatcept,0.9083,1,0.9083,1,0.9463,1,0.8833,1,0.9463,1,1
abatacept,abaatcept,1.0,0,1.0,0,0.9528,1,1.0,0,0.9741,2,1
abatacept,abatacetp,0.9667,2,0.9667,2,0.9889,2,1.0,0,0.9889,2,1
abelcet,abelcet,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abelcet,abelce,0.96,1,0.96,1,0.9524,2,1.0,0,0.981,1,1
abelcet,ablcet,0.7833,2,0.7833,2,0.8889,2,0.6667,2,0.8889,2,0
abelcet,ablcet,0.8667,2,0.8667,2,0.8778,2,0.5,4,0.8222,2,0
abelcet,ablcet,1.0,0,1.0,0,0.8952,1,1.0,0,0.8952,1,1
abelcet,abeclet,0.8933,2,0.8933,2,0.9667,2,0.9333,2,0.9667,2,1
abemaciclib,abemaciclib,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abemaciclib,abeaciclib,0.9619,1,0.9619,1,0.8928,2,0.8667,1,0.9788,1,1
abemaciclib,abemacicib,0.9095,2,0.9095,2,0.9939,1,1.0,0,0.9939,1,1
abemaciclib,ablemaciclib,0.8905,1,0.8905,1,0.8929,1,0.8667,2,0.8929,1,1
abemaciclib,abemacilcib,0.9429,2,0.9429,2,0.9909,2,1.0,0,0.9909,2,1
abilify,abilify,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abilify,abilfy,1.0,0,1.0,0,0.9714,1,1.0,0,0.9714,1,1
abilify,abiliify,1.0,0,1.0,0,1.0,0,1.0,0,0.9792,1,1
abilify,abiliy,0.9417,1,0.9417,1,0.9429,2,0.8833,1,0.9762,1,1
ablavar,ablavar,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
ablavar,abblavar,1.0,0,1.0,0,1.0,0,1.0,0,0.9667,1,1
